gene	n_edges	median_beta	median_t	p_stouffer	q_BH
ENSMUSG00000094932	280	0.0396359920036041	0.043346355146420636	0.0	0.0
ENSMUSG00000027487	276	-0.08558836057782132	-0.09290313184783937	0.0	0.0
ENSMUSG00000030096	114	0.4755572862923142	0.5574650647600675	0.0	0.0
ENSMUSG00000043496	139	-0.4894260853528952	-0.43511243988315207	0.0	0.0
ENSMUSG00000003617	89	0.17887512706220302	0.1897055225697256	0.0	0.0
ENSMUSG00000021207	111	-0.21464287042617755	-0.2991441374382599	0.0	0.0
ENSMUSG00000098934	153	0.09807574381120567	0.14018664881798718	4.440892098500626e-16	7.61295788314393e-14
ENSMUSG00000063681	153	0.5249862268567067	0.6337097842929238	9.992007221626409e-16	1.4988010832439613e-13
ENSMUSG00000092746	172	0.5430084757506837	0.6002442048568817	1.6431300764452317e-14	1.98507876802978e-12
ENSMUSG00000028214	121	-0.716887244582176	-0.8000725084332532	1.6542323066914832e-14	1.98507876802978e-12
ENSMUSG00000061906	164	0.006992759183047941	0.002690337051082561	6.328271240363392e-13	6.429301535604282e-11
ENSMUSG00000063556	177	0.11622338332235863	0.14850856559501802	6.429301535604282e-13	6.429301535604282e-11
ENSMUSG00000064604	118	0.3994503634050469	0.4476488187905971	1.265987314980066e-12	1.168603675366215e-10
ENSMUSG00000020609	95	-0.27356228381395464	-0.38256197775766765	3.328559650128682e-12	2.8530511286817273e-10
ENSMUSG00000073640	242	0.07227544356137598	0.11045563276975513	7.416622871403433e-12	5.933298297122747e-10
ENSMUSG00000106107	110	0.3617365874350071	0.59567593583625	1.248112724283601e-11	9.360845432127007e-10
ENSMUSG00000070304	110	-0.6960466302931303	-0.9631031759804461	1.9797607997418254e-11	1.397478211582465e-09
ENSMUSG00000090021	92	0.23923736587166888	0.25587486257162095	3.309363894032913e-11	2.206242596021942e-09
ENSMUSG00000022797	160	0.1354937337338933	0.1748866291949685	4.8196113766607596e-11	3.043965079996269e-09
ENSMUSG00000026348	107	-0.36991825550794266	-0.301660445015379	5.2075788126160205e-11	3.1245472875696123e-09
ENSMUSG00000108884	87	-0.08608187362551621	-0.11463122254673667	1.4052892183258336e-10	8.030224104719049e-09
ENSMUSG00000039519	222	0.2731620775477487	0.29702796043424434	1.6865253638087552e-10	9.199229257138664e-09
ENSMUSG00000025089	97	-0.36149883735924876	-0.6471298634619984	3.150381067129615e-10	1.643677078502408e-08
ENSMUSG00000034739	138	-0.10763380322605372	-0.16151181867617576	7.947492663973321e-10	3.9737463319866606e-08
ENSMUSG00000087881	85	0.9385226219892486	1.2747517641989532	8.384170024910986e-10	4.0244016119572734e-08
ENSMUSG00000042102	86	0.06357935965061311	0.12116546139225473	1.1473730854305586e-09	5.2148231412098134e-08
ENSMUSG00000100426	137	-0.1596575669944289	-0.22102578451563865	1.173335206772208e-09	5.2148231412098134e-08
ENSMUSG00000027848	87	-0.5527590334415442	-1.0446684246431535	1.888527667581741e-09	8.093690003921747e-08
ENSMUSG00000069008	211	-0.124744712561369	-0.16117602997647462	2.0634494113380697e-09	8.538411357260978e-08
ENSMUSG00000065226	85	0.9456640243530239	1.20924797827118	2.1384743975616516e-09	8.553897590246606e-08
ENSMUSG00000001773	116	0.16469495333731188	0.2606911636179918	3.1583555770708927e-09	1.1907622804452345e-07
ENSMUSG00000022887	127	0.07867000959813676	0.11564779536283204	3.175366081187292e-09	1.1907622804452345e-07
ENSMUSG00000079165	90	0.22344276715302724	0.28503483827041276	3.3615079608750875e-09	1.2144445841123704e-07
ENSMUSG00000121280	89	0.4516440052539132	0.44518835047367467	3.440926321651716e-09	1.2144445841123704e-07
ENSMUSG00000028909	115	-0.2557780018076275	-0.2636515371529279	3.880241905562798e-09	1.3303686533358165e-07
ENSMUSG00000056328	158	-0.06045519113540685	-0.06748534048862002	5.100583067019215e-09	1.7001943556730717e-07
ENSMUSG00000019768	132	-0.25469397703054597	-0.34329524399442607	6.26042873097532e-09	2.030409318154158e-07
ENSMUSG00000005125	101	-0.19796489030122896	-0.3060804545025857	7.125464329682529e-09	2.2501466304260618e-07
ENSMUSG00000039542	215	0.010715449601413738	0.0160428966258102	7.878696806074004e-09	2.424214401868924e-07
ENSMUSG00000022026	146	-0.06508136508055014	-0.11431114720775587	8.122865380322253e-09	2.436859614096676e-07
ENSMUSG00000078898	251	-0.01730697676539651	-0.016240862615564712	1.2118802739102819e-08	3.5469666553471665e-07
